month,O3_target_rmse,O3_target_mae,O3_target_bias,NO2_target_rmse,NO2_target_mae,NO2_target_bias
1,3.6261331670058805,2.196287088315545,-0.009635942044941571,8.249361221525133,4.724167896489349,-0.19858527805820694
2,5.673562222031488,3.18124649882632,0.007112623472671654,10.452188988644666,6.199183467828923,-0.3200341506766308
3,8.207638470522722,4.412008018231067,-0.33278889711279586,11.271911993867379,6.630055455267603,-0.15100962743983895
4,9.008476535724437,4.768263349473942,0.3963684009808276,9.191915846526191,5.71537151762292,-0.17814238074281666
5,11.697751256920089,7.657009059183279,-0.5177969163531533,8.503309360115917,5.05026431923261,0.47362699125062374
6,9.050583350534541,4.80504972482904,0.49887095508397505,4.734687988502265,2.9752797854788997,0.16230876180822673
7,9.191069539923456,4.47714611213524,0.2774194815958625,4.555691879561985,2.5927509443189045,0.1751598407977091
8,7.315939892362395,3.5730399993577246,0.30598792035217176,3.1762452203169227,1.934644127065832,0.07271700530761017
9,14.178695186647394,6.031152275288979,0.07620481028602931,3.776353570699946,2.1572939219590412,0.2388366712099623
10,9.137300817318453,4.552257371054025,-0.3877466165739827,5.0107925458041445,3.2253195118800457,0.016534616593811682
11,9.158645184609657,4.324940701437519,-0.25398791580848096,11.149884842223864,6.838917610538841,-1.3352128282015334
12,4.564312881562451,2.1478286533815707,0.3447434462655982,9.727101369607778,4.922246742341076,-0.7299464642853706
